,labels,x1,x2,x3,x4,x5,x6,x7
898,-414.0769099629805,207.74463524712826,39.82937842256757,-6.7827737420928935,124.71835411349512,2.5314700523857843,40.48846562689084,13.23550447991384
699,-590.9424034594216,139.0952641682488,43.705630122513426,26.844957341827666,92.92020689365052,3.9555580717705734,63.89807858966203,47.049899575188505
234,-703.5463436915753,183.56301654197048,41.18369754104932,53.56690157514637,105.56560467924062,14.33955816330627,17.986689973000882,43.54240900609364
436,-773.6618214311162,199.2062561098243,46.385549397128074,50.86714789856437,100.14146579783072,7.915795593076465,49.01427428206669,49.82355901120445
810,-843.6505938058283,120.1770136849392,41.70263401815236,50.34094584299076,97.25606329521536,7.4343119524828865,16.717968755307975,2.619691487133552
844,-69.39277333874328,220.1993276133353,40.67450507104904,-51.966246251974795,124.07514241055507,7.395356327355089,77.69296996554156,33.192856370668125
356,-680.8114516426476,76.1244751990169,43.315258032513015,20.962183100745854,85.29566341421129,12.099912361061374,54.298243273354814,11.09596272617962
439,-1162.5687243505065,110.60341993376308,46.1252694859402,106.14581954778922,114.63440461381771,13.687142661081396,26.617430113709503,42.50162405290639
813,-958.0451984751172,167.30676778922253,36.45137194988713,65.91077423523404,108.73153291706986,6.217235531097591,46.79879805769482,14.871009763372335
125,177.0607977431028,66.42820925412029,46.357350395168886,-75.3847091293952,117.24022777104919,5.247550209427102,19.08294326822905,17.4184048791624
717,-606.4254628268153,99.990165726551,42.665107088783714,31.92586720548395,124.32917925900783,1.5207753622790066,52.65240065471536,44.61960876924339
566,-628.7113943570226,127.34617858370967,46.58453065813814,12.691389412785295,105.30913257434004,3.885721238447921,40.86268724395888,11.022929580815882
541,-600.6248291513763,193.12754514622026,41.83665489642495,38.449460298358815,116.72964464705616,11.644146112033123,11.235078490486494,36.75036020264948
584,-316.23796735129037,197.1969392149496,35.488196211669326,10.608432996250349,106.46616344648432,13.768187093800476,75.66904631571889,72.13303324937402
659,-285.7100799312608,224.48007116566052,41.620677153919075,-23.00834770855033,90.81201726542992,10.762577226150633,45.21491148951485,20.242074086800255
413,-748.3512212533113,141.62924623142692,39.00323586549648,39.76256823566722,82.64969270244762,4.318069413073594,55.682668300843524,24.85627588229345
795,-550.4173435414948,189.74585349761773,41.13870931384511,22.82531932971392,112.22117562280184,7.4798010507319175,62.64940007285053,49.91455493397017
884,-167.27148887670216,159.0469403047036,37.50829941199623,-23.653714682798746,95.4105459667868,12.937536337138145,14.892351991936016,16.420002424516774
69,-939.7251092515472,109.99046871178976,42.413877341474624,64.25396448438529,112.78273750668095,10.9756760850385,6.6094718628988005,3.565860592418159
249,-614.1031482797282,98.43913408342951,43.40380500122354,39.57422933981074,93.00580338745556,5.7939124557000605,74.43542701708684,69.1267234319955
135,-332.1151316098088,162.47052590030088,41.92948306563497,-11.278057148275016,113.78239124065493,7.495574526695541,45.89953315592294,25.884320946004586
603,-22.55900155273002,182.50866137701888,44.77149564302886,-42.596075060479066,110.07579234134815,2.5492150834565663,60.16509358810774,55.811853420982
317,-249.3706441197237,174.9191028299997,39.261232867406186,-33.43268711363763,106.87596799696756,6.332633890491357,76.44449571765364,17.12248149197135
625,305.4806956554526,172.59917412486362,42.91915322790136,-71.3056203689827,83.41492433171975,5.709417875367008,54.8413290897206,69.41080412103351
137,-621.4899209971595,216.0768256758363,37.99727354017168,49.78912133832962,88.28182245878716,12.695557955308075,24.99461841151209,53.96933681818384
817,-754.4091750493301,150.04377260795957,44.480994192743594,53.86995333752748,87.28309673554493,10.763585626648322,39.27369006600778,48.91842288919918
897,-173.83484224805187,73.49409332521499,40.70822126125202,-31.95576195027985,120.78008762478888,10.327048173161016,50.92679035317988,21.56614576792536
63,-615.8162196675223,93.15871164277901,39.532989502947395,23.97951872287829,121.01970915819565,13.986745660934153,21.21254677208479,3.4310768315784537
319,-1235.139097212397,148.70253183302322,39.487273224713775,113.51358546951492,84.33412556676211,3.174578095999282,24.03326457644536,27.937425855396558
531,264.8967023889818,165.8003810070452,44.56397361071766,-50.661433884731295,90.05436423266407,1.4738963973968444,24.162513176855768,80.00635507471426
